Title,Pieces,Minifigs,Price
Underwater Loop,389.0,2,29.23
Andrea's Heart Box,84.0,1,7.99
Emma's Heart Box,85.0,1,7.99
Stephanie's Heart Box,85.0,1,7.99
Olivia's Heart Box,85.0,2,7.99
Mia's Heart Box,83.0,1,7.99
Heart Box Friendship Pack,199.0,2,19.99
Emma's Mobile Veterinary Clinic ,50.0,1,9.74
Mia's Foal Stable ,118.0,1,19.49
Heartlake City Supermarket,140.0,2,29.23
Mia's Forest Adventure,134.0,1,14.99
Stephanie's Buggy & Trailer ,166.0,1,19.99
Emma's Art Studio,235.0,2,24.99
Olivia's Cupcake Cafe,335.0,2,29.23
Stephanie's Horse Jumping,337.0,2,38.98
Andrea's Talent Show,492.0,2,49.99
Mia's House,715.0,3,68.23
Mia's Horse Trailer,216.0,2,29.23
Stephanie's Gymnastics Show,241.0,2,29.23
Funny Octopus Ride,324.0,2,38.98
Andrea's Pool Party,468.0,2,48.73
Heartlake City Amusement Pier,1251.0,7,126.71
Turtles Rescue Mission,225.0,2,19.49
Dolphins Rescue Mission,363.0,2,38.98
Heartlake City Restaurant,624.0,3,58.48
Lighthouse Rescue Centre,602.0,2,58.48
Rescue Mission Boat,908.0,4,87.72
LEGO Friends Advent Calendar,330.0,3,24.99
Olivia's Hamster Playground,81.0,1,9.74
Andrea's Summer Heart Box,83.0,1,7.99
Emma's Summer Heart Box,86.0,1,7.99
Stephanie's Summer Heart Box,95.0,1,7.99
Olivia's Summer Heart Box,93.0,2,7.99
Mia's Summer Heart Box,85.0,1,7.99
Emmet,113.0,,
Wyldstyle,134.0,,
Benny,103.0,,
Sweet Mayhem,137.0,,
Cherry Picker,155.0,,9.74
Power Boat,174.0,,14.99
Getaway Truck,128.0,,19.99
Police Pursuit,120.0,,19.49
Rescue Helicopter,325.0,,29.99
Chevrolet Corvette ZR1,579.0,,39.99
Tracked Loader,827.0,,59.99
Remote-Controlled Stunt Racer,324.0,,79.99
Porsche 911 RSR,1580.0,,199.99
Compact Crawler Crane,920.0,,87.72
Car Transporter,2493.0,,149.99
4x4 X-Treme Off-Roader,958.0,,229.99
